Date,Open,High,Low,Close,Adj Close,Volume
2017-10-23,148.410004,149.570007,148.000000,149.300003,140.855103,40100
2017-10-24,150.449997,151.460007,150.369995,151.220001,142.666519,32500
2017-10-25,150.250000,150.639999,149.229996,150.600006,142.081573,15400
2017-10-26,149.720001,150.990005,149.500000,149.759995,141.289108,16800
2017-10-27,149.309998,151.029999,149.250000,150.839996,142.307983,13600
2017-10-30,148.399994,148.690002,145.509995,146.910004,138.600281,70100
2017-10-31,145.589996,149.119995,145.589996,148.619995,140.213593,32100
2017-11-01,148.589996,148.910004,147.830002,147.860001,139.496582,18300
2017-11-02,148.759995,149.970001,148.639999,149.699997,141.232498,15900
2017-11-03,149.720001,150.500000,149.610001,150.039993,141.553268,13100
2017-11-06,147.000000,148.720001,147.000000,148.259995,139.873901,23900
2017-11-07,147.160004,148.000000,146.889999,147.800003,139.439987,42500
2017-11-08,147.160004,148.419998,146.809998,148.000000,139.628632,24300
2017-11-09,145.570007,146.860001,145.020004,146.380005,138.100266,38000
2017-11-10,146.500000,146.589996,145.910004,146.089996,137.826675,13300
2017-11-13,141.979996,144.979996,141.300003,144.240005,136.081329,51600
2017-11-14,142.570007,143.750000,141.750000,142.520004,134.458633,34300
2017-11-15,140.369995,140.820007,139.270004,139.860001,131.949081,57300
2017-11-16,137.020004,138.380005,136.550003,137.070007,129.316895,121800
2017-11-17,136.449997,137.320007,135.440002,136.669998,128.939514,48800
2017-11-20,138.000000,138.690002,137.410004,138.000000,130.194275,198400
2017-11-21,136.559998,140.300003,136.380005,140.149994,132.222641,49000
2017-11-22,141.490005,142.470001,141.009995,142.389999,134.335953,33100
2017-11-24,143.229996,144.229996,142.779999,143.630005,135.505814,16000
2017-11-27,145.470001,145.850006,144.770004,145.050003,136.845474,28900
2017-11-28,144.759995,145.100006,143.759995,144.110001,135.958679,23000
2017-11-29,142.309998,142.529999,140.130005,140.259995,132.326416,28400
2017-11-30,139.750000,139.869995,138.399994,139.500000,132.023605,30500
2017-12-01,139.320007,139.600006,137.589996,138.360001,130.944672,21600
2017-12-04,140.279999,141.050003,139.320007,139.610001,132.127716,31200
2017-12-05,138.160004,138.679993,137.339996,137.339996,129.979309,20400
2017-12-06,135.619995,136.410004,135.509995,136.000000,128.711151,34800
2017-12-07,134.600006,135.960007,134.419998,135.520004,128.256897,38200
2017-12-08,136.369995,136.369995,134.279999,135.199997,127.954041,30500
2017-12-11,134.300003,135.750000,134.300003,135.410004,128.152786,39500
2017-12-12,133.750000,134.960007,133.570007,134.649994,127.433525,38600
2017-12-13,134.779999,136.139999,134.779999,135.809998,128.531311,37100
2017-12-14,131.830002,132.460007,131.350006,132.139999,125.058022,77600
2017-12-15,132.580002,132.990005,132.270004,132.679993,125.569069,62900
2017-12-18,133.089996,133.929993,132.820007,133.490005,126.335701,26800
2017-12-19,133.619995,133.619995,131.589996,131.589996,124.537521,29800
2017-12-20,136.470001,136.789993,134.360001,134.500000,127.291573,57900
2017-12-21,135.229996,135.229996,133.309998,133.309998,126.165367,41600
2017-12-22,134.000000,134.809998,133.009995,134.369995,127.168541,28100
2017-12-26,134.750000,134.880005,133.679993,134.020004,126.837288,39300
2017-12-27,134.440002,134.649994,133.669998,134.179993,126.988708,25800
2017-12-28,134.570007,134.699997,133.919998,134.110001,126.922478,25800
2017-12-29,134.179993,134.179993,133.160004,133.289993,126.146370,18000
2018-01-02,137.509995,137.830002,135.210007,135.789993,128.512436,80800
2018-01-03,135.399994,135.479996,133.910004,134.509995,127.301025,63100
2018-01-04,134.669998,135.100006,134.220001,134.779999,127.556564,33700
2018-01-05,134.830002,135.779999,134.830002,135.429993,128.171738,67000
2018-01-08,134.229996,134.750000,133.809998,134.000000,126.818359,27500
2018-01-09,134.220001,134.279999,133.259995,133.300003,126.155869,33200
2018-01-10,133.009995,133.009995,131.610001,131.960007,124.887695,41400
2018-01-11,132.110001,132.889999,131.630005,132.369995,125.275734,23500
2018-01-12,132.500000,133.259995,131.110001,131.110001,124.083244,19900
2018-01-16,139.020004,139.779999,134.250000,135.110001,127.868820,202400
2018-01-17,138.309998,141.490005,137.740005,141.059998,133.500015,72100
2018-01-18,141.160004,141.720001,138.789993,138.929993,131.484146,34800
2018-01-19,139.850006,140.410004,138.399994,139.190002,131.730225,23400
2018-01-22,139.000000,139.449997,137.720001,139.080002,131.626099,28800
2018-01-23,140.639999,140.820007,137.630005,138.279999,130.868973,28700
2018-01-24,138.059998,139.960007,137.960007,138.839996,131.398972,29100
2018-01-25,141.050003,141.199997,139.050003,139.759995,132.269653,21200
2018-01-26,139.289993,141.000000,138.139999,140.889999,133.339096,23800
2018-01-29,144.619995,146.429993,144.410004,146.119995,138.288818,51600
2018-01-30,149.389999,150.720001,148.669998,148.869995,140.891434,58100
2018-01-31,151.199997,151.910004,149.339996,149.789993,141.762085,67400
2018-02-01,149.350006,150.770004,149.300003,149.559998,141.544418,30300
2018-02-02,148.899994,149.720001,147.139999,147.419998,139.519119,32000
2018-02-05,143.039993,144.610001,139.490005,140.130005,132.619812,77900
2018-02-06,139.139999,140.559998,138.160004,140.169998,132.657684,53300
2018-02-07,139.410004,140.429993,138.529999,138.600006,131.171829,43800
2018-02-08,144.809998,145.669998,141.000000,141.289993,133.717651,45500
2018-02-09,142.250000,142.500000,138.419998,142.389999,134.758698,45600
2018-02-12,145.539993,145.649994,142.929993,144.809998,137.048996,43500
2018-02-13,143.690002,147.860001,142.179993,147.500000,139.594849,73800
2018-02-14,146.350006,149.720001,146.160004,148.860001,140.881943,40700
2018-02-15,149.440002,149.720001,147.699997,149.149994,141.156372,30000
2018-02-16,149.949997,149.949997,149.000000,149.139999,141.146927,10900
2018-02-20,146.559998,148.369995,146.070007,147.660004,139.746246,32000
2018-02-21,144.919998,146.000000,144.259995,144.350006,136.613724,49700
2018-02-22,144.710007,145.070007,144.130005,144.899994,137.134171,22500
2018-02-23,145.550003,146.119995,144.220001,145.880005,138.061661,20700
2018-02-26,144.470001,145.350006,144.000000,144.949997,137.181503,25400
2018-02-27,143.649994,144.210007,142.850006,143.740005,136.036392,39900
2018-02-28,144.639999,145.000000,143.470001,144.009995,136.291855,23100
2018-03-01,144.690002,144.690002,140.500000,141.149994,133.585159,35900
2018-03-02,141.500000,142.699997,140.600006,142.690002,135.042603,20700
2018-03-05,139.529999,140.210007,139.089996,139.570007,132.089859,38600
2018-03-06,138.479996,138.600006,137.070007,137.559998,130.187561,24800
2018-03-07,137.929993,137.929993,136.289993,137.779999,130.395798,24800
2018-03-08,137.080002,137.080002,134.669998,135.789993,128.512436,31800
2018-03-09,136.479996,137.119995,136.009995,137.100006,129.752228,24200
2018-03-12,140.639999,140.660004,138.009995,138.410004,130.992004,28300
2018-03-13,139.880005,140.330002,137.699997,137.940002,130.547180,31800
2018-03-14,139.419998,139.419998,137.210007,137.929993,130.537735,22900
2018-03-15,137.720001,138.339996,136.509995,136.990005,129.648117,27300
2018-03-16,137.089996,137.479996,136.649994,137.139999,129.790070,22700
2018-03-19,135.190002,136.389999,134.830002,136.080002,128.786865,55000
2018-03-20,133.919998,134.020004,126.639999,133.300003,126.155869,91100
2018-03-21,130.600006,132.389999,129.910004,131.679993,124.622688,76600
2018-03-22,129.860001,129.899994,127.449997,127.650002,120.808685,40200
2018-03-23,127.849998,129.139999,127.050003,127.540001,120.704575,41200
2018-03-26,124.910004,125.449997,122.790001,124.440002,117.770752,66600
2018-03-27,124.059998,124.239998,121.120003,121.720001,115.196503,67800
2018-03-28,120.959999,120.959999,118.599998,119.510002,113.104958,80700
2018-03-29,120.150002,122.199997,119.589996,121.570000,115.054535,59200
2018-04-02,121.720001,122.519997,119.300003,120.419998,113.966171,23800
2018-04-03,121.230003,121.230003,119.029999,120.379997,113.928307,57700
2018-04-04,115.330002,119.309998,113.589996,118.940002,112.565483,100500
2018-04-05,118.709999,120.349998,118.709999,120.000000,113.568680,43900
2018-04-06,119.010002,119.550003,115.800003,116.639999,110.795013,43000
2018-04-09,117.000000,117.650002,115.580002,115.610001,109.816620,51400
2018-04-10,116.230003,117.250000,115.739998,116.309998,110.481514,48700
2018-04-11,117.690002,120.980003,117.690002,120.459999,114.423576,117300
2018-04-12,123.629997,123.629997,122.040001,122.860001,116.703300,53300
2018-04-13,123.199997,124.730003,122.230003,122.860001,116.703300,35600
2018-04-16,126.309998,126.370003,125.059998,125.500000,119.210999,48600
2018-04-17,125.739998,125.940002,124.040001,124.099998,117.881172,26100
2018-04-18,124.050003,124.940002,123.889999,124.279999,118.052147,18300
